eps,min_samples,n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,tag
0.273,5,170,0.289,,,,
0.39,5,75,0.141,,,,
0.507,5,29,0.077073334077464,-0.0482,1.5048,454.6,"DBSCAN(eps=0.507,ms=5)"
0.625,5,14,0.04888938497600179,-0.0107,1.1566,560.3,"DBSCAN(eps=0.625,ms=5)"
0.742,5,13,0.026174796294229266,0.4975,0.9991,230.2,"DBSCAN(eps=0.742,ms=5)"
0.859,5,8,0.008817948431744615,0.6055,0.8181,770.6,"DBSCAN(eps=0.859,ms=5)"
0.976,5,3,0.003571827212858578,0.6763,1.115,2793.3,"DBSCAN(eps=0.976,ms=5)"
1.093,5,2,0.0018417234066302043,0.7204,0.3951,5641.4,"DBSCAN(eps=1.093,ms=5)"
0.273,10,51,0.452,,,,
0.39,10,33,0.233,,,,
0.507,10,17,0.13165531867395916,0.0224,1.9673,838.2,"DBSCAN(eps=0.507,ms=10)"
0.625,10,5,0.07366893626520817,0.0411,1.5291,1567.4,"DBSCAN(eps=0.625,ms=10)"
0.742,10,4,0.046098894965956025,0.5306,0.7788,119.1,"DBSCAN(eps=0.742,ms=10)"
0.859,10,9,0.023830784685790824,0.5484,0.8847,194.5,"DBSCAN(eps=0.859,ms=10)"
0.976,10,3,0.010548052237972987,0.6846,0.7217,2229.3,"DBSCAN(eps=0.976,ms=10)"
1.093,10,2,0.004297354615470476,0.7207,0.3898,5428.3,"DBSCAN(eps=1.093,ms=10)"
