period,stateid,stateDescription,sales,price,ae_error,iso_score
2026-01-01,US,U.S. Total,355940.17295,14.17,0.0076,0.7619
2011-01-01,US,U.S. Total,334115.65319,9.48,0.0073,0.7449
2025-02-01,US,U.S. Total,320561.01323,13.18,0.0065,0.757
2002-01-01,US,U.S. Total,290967.48001,6.95,0.0063,0.7506
2011-12-01,US,U.S. Total,301844.19734,9.53,0.0062,0.7332
2012-01-01,US,U.S. Total,310975.3842,9.61,0.0061,0.7397
2015-12-01,US,U.S. Total,297343.55649,9.98,0.006,0.7292
2011-02-01,US,U.S. Total,296903.49799,9.56,0.0059,0.7425
2023-03-01,US,U.S. Total,306453.94244,12.46,0.0058,0.7487
2025-04-01,US,U.S. Total,294846.37543,13.09,0.0057,0.7498
